iter	PrecisionAt:top=5	MAP:top=5
0	0.03755555556	0.03572407407
1	0.04277777778	0.04173441358
2	0.05155555556	0.05209398148
3	0.05622222222	0.0568132716
4	0.05922222222	0.05884814815
5	0.06033333333	0.05901141975
6	0.06133333333	0.05988179012
7	0.06244444444	0.06090709877
8	0.06477777778	0.06289783951
9	0.06366666667	0.06195478395
10	0.06355555556	0.06184938272
11	0.06422222222	0.0626720679
12	0.06544444444	0.06371728395
13	0.06577777778	0.06410246914
14	0.06477777778	0.06377021605
15	0.06577777778	0.06381574074
16	0.06544444444	0.06399104938
17	0.06588888889	0.06459166667
18	0.06611111111	0.06417716049
19	0.06622222222	0.0645933642
20	0.06711111111	0.06521481481
21	0.06677777778	0.06492700617
22	0.06688888889	0.06542716049
23	0.06777777778	0.06638811728
24	0.06844444444	0.0676462963
25	0.06833333333	0.06810061728
26	0.06944444444	0.0693404321
27	0.07055555556	0.07051743827
28	0.07122222222	0.0711404321
29	0.072	0.07195771605
30	0.07166666667	0.07198040123
31	0.072	0.0727279321
32	0.07188888889	0.0724867284
33	0.07322222222	0.07430524691
34	0.07388888889	0.07449830247
35	0.07377777778	0.07448425926
36	0.07344444444	0.07398811728
37	0.07333333333	0.07450478395
38	0.074	0.0743808642
39	0.07466666667	0.07481512346
40	0.07477777778	0.07471929012
41	0.07433333333	0.07497407407
42	0.075	0.07578179012
43	0.07544444444	0.07683287037
44	0.07555555556	0.07679675926
45	0.07555555556	0.07652006173
46	0.07644444444	0.07711358025
47	0.07688888889	0.07749660494
48	0.07666666667	0.07757962963
49	0.07744444444	0.07746126543
50	0.07788888889	0.07834382716
51	0.07833333333	0.07908580247
52	0.07866666667	0.07969166667
53	0.07911111111	0.08047037037
54	0.079	0.08029552469
55	0.07966666667	0.08101759259
56	0.07922222222	0.08078441358
57	0.07977777778	0.08170771605
58	0.08033333333	0.08201651235
59	0.08033333333	0.08204891975
60	0.08111111111	0.08221589506
61	0.08155555556	0.08301466049
62	0.08166666667	0.0833
63	0.08177777778	0.08305277778
64	0.082	0.08384722222
65	0.08244444444	0.08415432099
66	0.08244444444	0.08394614198
