iter	Passed	Remaining
398	87489	351054
399	87710	350840
400	87927	350613
401	88152	350416
402	88366	350178
403	88588	349970
404	88826	349821
405	89047	349608
406	89267	349393
407	89493	349202
408	89717	349000
409	89940	348795
410	90157	348564
411	90374	348338
412	90603	348153
413	90835	347982
414	91051	347750
415	91268	347522
416	91484	347289
417	91699	347052
418	91924	346854
419	92144	346639
420	92359	346402
421	92575	346169
422	92805	345989
423	93024	345770
424	93252	345583
425	93476	345379
426	93693	345153
427	93919	344955
428	94135	344724
429	94352	344495
430	94572	344280
431	94793	344063
432	95010	343837
433	95226	343604
434	95450	343403
435	95670	343185
436	95896	342988
437	96166	342948
438	96389	342741
439	96621	342568
440	96836	342330
441	97059	342122
442	97295	341960
443	97530	341795
444	97752	341585
445	97980	341392
446	98196	341160
447	98412	340929
448	98649	340769
449	98920	340726
450	99138	340501
451	99354	340265
452	99573	340045
453	99792	339820
454	100022	339635
455	100242	339419
456	100461	339195
457	100677	338961
458	100899	338749
459	101114	338513
460	101330	338280
461	101555	338079
462	101794	337923
463	102027	337744
464	102250	337535
465	102469	337314
466	102687	337088
467	102907	336868
468	103142	336696
469	103365	336488
470	103583	336262
471	103799	336028
472	104025	335829
473	104245	335609
474	104458	335367
475	104677	335143
476	104889	334897
477	105110	334681
478	105326	334450
479	105552	334249
480	105817	334172
481	106059	334022
482	106282	333811
483	106518	333639
484	106728	333388
485	107003	333338
486	107252	333210
487	107468	332976
488	107688	332756
489	107907	332530
490	108124	332301
491	108343	332078
492	108561	331850
493	108773	331604
494	108999	331402
495	109218	331178
496	109431	330936
497	109646	330701
498	109873	330500
499	110091	330273
500	110303	330030
501	110518	329793
502	110736	329567
503	110949	329327
504	111168	329101
505	111384	328870
506	111600	328638
507	111815	328403
508	112030	328167
509	112250	327946
510	112470	327728
511	112682	327483
512	112896	327246
513	113122	327043
514	113353	326855
515	113586	326672
516	113814	326473
517	114042	326277
518	114265	326063
519	114485	325843
520	114703	325616
521	114916	325375
522	115131	325141
523	115347	324908
524	115571	324701
525	115786	324465
526	116004	324240
527	116224	324020
528	116445	323800
529	116665	323582
530	116881	323351
531	117095	323112
532	117310	322878
533	117529	322655
534	117741	322412
535	117967	322210
536	118185	321983
537	118407	321768
538	118628	321550
539	118846	321324
540	119126	321266
541	119344	321041
542	119566	320826
543	119780	320588
544	119994	320351
545	120210	320119
546	120432	319906
547	120659	319703
548	120886	319500
549	121105	319278
550	121325	319058
551	121560	318875
552	121783	318663
553	122020	318487
554	122240	318266
555	122464	318056
556	122685	317837
557	122901	317606
558	123121	317383
559	123338	317155
560	123585	317005
561	123802	316776
562	124040	316599
563	124255	316367
564	124476	316147
565	124693	315919
566	124918	315710
567	125142	315500
568	125360	315274
569	125581	315054
570	125813	314863
571	126030	314634
572	126253	314420
573	126485	314229
574	126707	314014
575	126932	313804
576	127157	313596
577	127373	313364
578	127593	313144
579	127819	312938
580	128044	312729
581	128262	312502
582	128475	312264
583	128691	312032
584	128915	311820
585	129152	311640
586	129417	311528
587	129633	311296
588	129848	311062
589	130080	310870
590	130333	310727
591	130553	310506
592	130771	310278
593	131002	310083
594	131216	309847
595	131432	309616
596	131664	309423
597	131882	309196
598	132106	308984
599	132323	308754
600	132552	308555
601	132769	308325
602	132985	308094
603	133221	307909
604	133442	307690
605	133658	307458
606	133871	307221
607	134095	307008
608	134317	306791
609	134542	306579
610	134760	306355
611	134975	306121
612	135196	305901
613	135414	305674
614	135629	305441
615	135843	305207
616	136063	304985
617	136286	304769
618	136511	304559
619	136728	304330
620	136945	304103
621	137166	303883
622	137381	303649
623	137599	303424
624	137816	303195
625	138030	302960
626	138257	302755
627	138481	302542
628	138697	302311
629	138916	302087
630	139149	301895
631	139369	301672
632	139590	301454
633	139809	301229
634	140028	301006
635	140249	300786
636	140477	300583
637	140700	300367
638	140920	300145
639	141144	299931
640	141360	299700
641	141582	299484
642	141817	299295
643	142036	299070
644	142258	298853
645	142487	298650
646	142709	298433
647	142925	298203
648	143149	297988
649	143390	297811
650	143616	297602
651	143844	297396
652	144069	297184
653	144319	297024
654	144546	296817
655	144768	296599
656	144997	296395
657	145223	296185
658	145445	295966
659	145667	295748
660	145886	295524
661	146106	295303
662	146329	295086
663	146552	294870
664	146773	294651
665	146996	294435
666	147217	294215
667	147440	293997
668	147669	293793
669	147888	293570
670	148121	293372
671	148341	293150
672	148566	292937
673	148787	292717
674	149008	292497
675	149231	292282
676	149459	292074
677	149678	291850
678	149911	291654
679	150132	291434
680	150416	291335
681	150642	291125
682	150878	290931
683	151101	290715
684	151323	290497
685	151553	290293
686	151786	290095
687	152006	289873
688	152235	289668
689	152458	289450
690	152684	289239
691	152917	289039
692	153134	288811
693	153360	288601
694	153585	288386
695	153811	288176
696	154032	287954
697	154264	287755
698	154488	287538
699	154713	287325
700	154934	287104
701	155149	286872
702	155368	286646
703	155585	286419
704	155808	286201
705	156033	285987
706	156257	285771
707	156481	285557
708	156705	285341
709	156923	285114
710	157146	284897
711	157375	284690
712	157599	284474
713	157818	284250
714	158049	284046
715	158265	283817
716	158489	283600
