iter	QueryRMSE	PrecisionAt:top=5	MAP:top=5
0	0.1899185563	0.05633333333	0.04563070988
1	0.1896865637	0.07322222222	0.07347854938
2	0.1894565671	0.07511111111	0.07681651235
3	0.1892460699	0.07744444444	0.07896867284
4	0.189033607	0.07988888889	0.08326466049
5	0.188841695	0.08122222222	0.08481018519
6	0.1886540971	0.08166666667	0.08589598765
7	0.1884606203	0.08188888889	0.08601234568
8	0.1882742996	0.084	0.08972361111
9	0.1881010896	0.08533333333	0.09252098765
10	0.1879405176	0.08455555556	0.09379351852
11	0.1877705317	0.08622222222	0.09658209877
12	0.1876154488	0.08644444444	0.09595709877
13	0.187470407	0.08633333333	0.09747700617
14	0.1873169716	0.08655555556	0.09701311728
15	0.187172308	0.08644444444	0.09654320988
16	0.1870414538	0.08566666667	0.09614645062
17	0.1869126359	0.08655555556	0.09879305556
18	0.186785852	0.08644444444	0.09803425926
19	0.1866635755	0.08711111111	0.09914490741
20	0.1865477778	0.08722222222	0.09918132716
21	0.1864306737	0.08766666667	0.1004643519
22	0.186324239	0.08733333333	0.1002493827
23	0.1862101025	0.08744444444	0.0998742284
24	0.1861070506	0.08755555556	0.09985895062
25	0.1859988198	0.08811111111	0.1009808642
26	0.1858985275	0.088	0.100954784
27	0.1857940835	0.08977777778	0.1032527778
28	0.1856993255	0.08855555556	0.1028089506
29	0.1855938963	0.08944444444	0.1032807099
30	0.1855008625	0.09	0.1036800926
31	0.185414038	0.09011111111	0.1038541667
32	0.1853205434	0.09011111111	0.1037847222
33	0.1852315313	0.09033333333	0.1044841049
34	0.1851477212	0.09033333333	0.1048239198
35	0.1850682865	0.09055555556	0.1047881173
36	0.1849820092	0.09066666667	0.104812963
37	0.1849082829	0.09111111111	0.1057822531
38	0.1848292808	0.091	0.1055083333
39	0.1847534586	0.09144444444	0.1060695988
40	0.1846777457	0.09166666667	0.1055705247
41	0.1846012473	0.09177777778	0.1057580247
42	0.1845300581	0.09233333333	0.1070578704
43	0.1844614399	0.09222222222	0.1073449074
44	0.1843925334	0.09244444444	0.1070444444
45	0.1843182466	0.093	0.1074171296
46	0.1842416384	0.094	0.1083391975
47	0.1841735954	0.09388888889	0.1084657407
48	0.1841150745	0.09422222222	0.1088589506
49	0.1840492439	0.09444444444	0.1089141975
50	0.1839811933	0.09477777778	0.109792284
51	0.1839235079	0.095	0.1100660494
52	0.1838623542	0.09555555556	0.1103453704
53	0.1838024766	0.09555555556	0.1098970679
54	0.1837432272	0.09555555556	0.1099824074
55	0.1836819608	0.09566666667	0.1101833333
56	0.1836329893	0.09588888889	0.1101731481
57	0.1835716229	0.09622222222	0.1108990741
58	0.1835139023	0.09577777778	0.1109145062
59	0.1834650897	0.09555555556	0.1106723765
60	0.1834075074	0.09711111111	0.1109404321
61	0.1833566005	0.09711111111	0.1110137346
62	0.1833112121	0.09688888889	0.1111469136
63	0.1832682282	0.09688888889	0.1107533951
64	0.1832068083	0.09722222222	0.1122862654
65	0.183158398	0.09766666667	0.1125705247
66	0.1831114436	0.09733333333	0.1122604938
67	0.1830605697	0.09744444444	0.112557716
68	0.1830077928	0.098	0.1130503086
69	0.1829456069	0.09822222222	0.1135138889
70	0.1829040703	0.09877777778	0.1138111111
71	0.1828570777	0.09866666667	0.1140993827
72	0.1828148657	0.09855555556	0.1138320988
73	0.1827680725	0.09877777778	0.1138396605
74	0.182723261	0.09855555556	0.1137794753
75	0.1826732204	0.09911111111	0.1147199074
76	0.1826371956	0.09911111111	0.1150550926
77	0.1825882823	0.09966666667	0.1156844136
78	0.1825479467	0.09988888889	0.1162808642
79	0.1825080165	0.1002222222	0.1168151235
80	0.1824675165	0.1004444444	0.1167833333
81	0.1824262562	0.1003333333	0.116512037
82	0.1823849095	0.1004444444	0.1162450617
83	0.1823463315	0.1003333333	0.1162662037
84	0.1823139094	0.1004444444	0.1161037037
85	0.1822758077	0.1008888889	0.1164320988
86	0.1822451823	0.1007777778	0.1164962963
87	0.1822118603	0.1007777778	0.1167074074
88	0.1821735001	0.1008888889	0.1168123457
89	0.1821401867	0.1013333333	0.116907716
90	0.1821033138	0.1011111111	0.1169205247
91	0.1820662631	0.1021111111	0.1174600309
92	0.1820312707	0.1021111111	0.1174587963
93	0.181995231	0.1022222222	0.1175337963
94	0.1819671356	0.102	0.1173875
95	0.1819379304	0.1018888889	0.1170976852
96	0.1819095477	0.1018888889	0.116991821
97	0.1818754721	0.1017777778	0.1174513889
98	0.181844383	0.1016666667	0.1170356481
99	0.1818131062	0.1022222222	0.1169260802
100	0.1817817887	0.1025555556	0.1170216049
