iter	PairLogit	PrecisionAt:top=5	MAP:top=5
0	0.6916277507	0.02355555556	0.02009521605
1	0.6904353943	0.03777777778	0.03286296296
2	0.6892405259	0.03866666667	0.03554305556
3	0.6878367389	0.044	0.04219675926
4	0.6866648003	0.04588888889	0.04479290123
5	0.6856623775	0.05	0.04565694444
6	0.6846942781	0.05	0.04616111111
7	0.6838679741	0.052	0.04624722222
8	0.683013126	0.05233333333	0.04734104938
9	0.6822590498	0.054	0.04833333333
10	0.6812663329	0.05377777778	0.05047237654
11	0.6806999595	0.05322222222	0.05055401235
12	0.6799998223	0.053	0.05113904321
13	0.6793541892	0.053	0.05256080247
14	0.6784607514	0.05377777778	0.05272824074
15	0.6778689229	0.05588888889	0.05588873457
16	0.6771605751	0.05611111111	0.05539104938
17	0.6762696361	0.05622222222	0.05581759259
18	0.6756025116	0.05722222222	0.05560987654
19	0.674875169	0.05633333333	0.05515138889
20	0.6743124072	0.05733333333	0.05665
21	0.6735459816	0.05755555556	0.05736404321
22	0.6729791703	0.05777777778	0.05655447531
23	0.6724103939	0.05733333333	0.05532114198
24	0.6719974386	0.05644444444	0.05417098765
25	0.6715736755	0.05688888889	0.05544058642
26	0.6709827568	0.05844444444	0.05554490741
27	0.6707212298	0.05833333333	0.05669104938
28	0.6704168525	0.05766666667	0.05491141975
29	0.6698431168	0.05877777778	0.05594243827
30	0.6694891078	0.05933333333	0.05637762346
31	0.6689806125	0.06011111111	0.05697808642
32	0.6686045708	0.06011111111	0.05715447531
33	0.6682455054	0.05922222222	0.0565367284
34	0.6677810087	0.05933333333	0.05657098765
35	0.6674916456	0.05922222222	0.05558317901
36	0.667007056	0.06022222222	0.05719552469
37	0.6665989585	0.06122222222	0.05780895062
38	0.6663765218	0.06055555556	0.05786265432
39	0.6662063211	0.06055555556	0.05818503086
40	0.6658259121	0.06033333333	0.05824567901
41	0.6655700938	0.061	0.05866496914
42	0.6651896744	0.06077777778	0.05846419753
43	0.6650341613	0.06077777778	0.05893935185
44	0.6647580593	0.06066666667	0.05855895062
45	0.664517684	0.06088888889	0.05890138889
