iter	Passed	Remaining
347	1232070	5848796
348	1236576	5849820
349	1241181	5851285
350	1246232	5854808
351	1250574	5854961
352	1254534	5853311
353	1258447	5851426
354	1262386	5849652
355	1265951	5846136
356	1269467	5842394
357	1273134	5839350
358	1276838	5836466
359	1280478	5833291
360	1284094	5830003
361	1287668	5826524
362	1291357	5823559
363	1295586	5823019
364	1299301	5820159
365	1302882	5816693
366	1306582	5813759
367	1310721	5812764
368	1315801	5815914
369	1320717	5818297
370	1325844	5821566
371	1331024	5825022
372	1336005	5827563
373	1340790	5829212
374	1345542	5830683
375	1350260	5831974
376	1354815	5832533
377	1359880	5835252
378	1364897	5837729
379	1369922	5840196
380	1375224	5843802
381	1380366	5846681
382	1385317	5848717
383	1390173	5850314
384	1394910	5851377
385	1399628	5852334
386	1404336	5853215
387	1410130	5858583
388	1415194	5860869
389	1420514	5864177
390	1425575	5866372
391	1430507	5867999
392	1435268	5868898
393	1440234	5870602
394	1444983	5871389
395	1449829	5872541
396	1454691	5873727
397	1459504	5874687
398	1464422	5876042
399	1469250	5877001
400	1473967	5877492
401	1478603	5877632
402	1483175	5877497
403	1487534	5876498
404	1491691	5874686
405	1496309	5874671
406	1501109	5875350
407	1506063	5876602
408	1510955	5877579
409	1515861	5878584
410	1520656	5879129
411	1525656	5880444
412	1530542	5881285
413	1535666	5883012
414	1540778	5884661
415	1546269	5887716
416	1551437	5889508
417	1556605	5891267
418	1561692	5892685
419	1566729	5893885
420	1572043	5896095
421	1577065	5897177
422	1581916	5897593
423	1586929	5898587
424	1591855	5899227
425	1596816	5899975
426	1601916	5901203
427	1606919	5902051
428	1611808	5902450
429	1616500	5902106
430	1621263	5902002
431	1626345	5903031
432	1631410	5903973
433	1636698	5905690
434	1642129	5907889
435	1647594	5910177
436	1652699	5911143
437	1657901	5912424
438	1663150	5913843
439	1668312	5914926
440	1673317	5915425
441	1678575	5916787
442	1683438	5916735
443	1688151	5916135
444	1692993	5915964
445	1697985	5916298
446	1702947	5916504
447	1707898	5916649
448	1712868	5916833
449	1717776	5916784
450	1722591	5916394
451	1727727	5917084
452	1732693	5917167
453	1737624	5917110
454	1742477	5916763
455	1747521	5917047
456	1752603	5917434
457	1757836	5918304
458	1762911	5918620
459	1767923	5918701
460	1772925	5918726
461	1778239	5919766
462	1783288	5919901
463	1788336	5920009
464	1793634	5920921
465	1798586	5920668
466	1803457	5920130
467	1808291	5919448
468	1813296	5919312
469	1818197	5918812
470	1822894	5917633
471	1827742	5916928
472	1832391	5915562
473	1837405	5915359
474	1842390	5915044
475	1847606	5915445
476	1852635	5915229
477	1857794	5915403
478	1863034	5915815
479	1868438	5916720
480	1873420	5916268
481	1878499	5916104
482	1883536	5915787
483	1888655	5915705
484	1893782	5915628
485	1899003	5915826
486	1904027	5915386
487	1909263	5915587
488	1914190	5914810
489	1918945	5913483
490	1923840	5912577
491	1928661	5911425
492	1933443	5910140
493	1938180	5908703
494	1943119	5907869
495	1948035	5906946
496	1952954	5906017
497	1957933	5905251
498	1962715	5903880
499	1967739	5903218
500	1972812	5902686
501	1977762	5901769
502	1982658	5900674
503	1987629	5899787
504	1992696	5899170
505	1997686	5898306
506	2002593	5897183
507	2007572	5896255
508	2012530	5895250
509	2017638	5894668
510	2022594	5893625
511	2027624	5892783
512	2032699	5892054
513	2037619	5890860
514	2042598	5889821
515	2047656	5888996
516	2052449	5887392
517	2057279	5885884
518	2062262	5884798
519	2067245	5883699
520	2072219	5882558
521	2077371	5881906
522	2082393	5880871
523	2087628	5880418
524	2092824	5879840
525	2097918	5878958
526	2102673	5877112
527	2107695	5876000
528	2112590	5874518
529	2117488	5873034
530	2122375	5871506
531	2127281	5870017
532	2132138	5868382
533	2137037	5866849
534	2141794	5864913
535	2146957	5864076
536	2152076	5863104
537	2157461	5862840
538	2162480	5861566
539	2167523	5860342
540	2172365	5858561
541	2177432	5857374
542	2182718	5856759
543	2187875	5855785
544	2192881	5854390
545	2197893	5852998
546	2202853	5851454
547	2207901	5850132
548	2213081	5849145
549	2218513	5848809
550	2223898	5848327
551	2228568	5845955
552	2233263	5843639
553	2238115	5841722
554	2242859	5839518
555	2247583	5837249
556	2252385	5835174
557	2257248	5833247
558	2262127	5831350
559	2267124	5829747
560	2272213	5828369
561	2277446	5827344
562	2282469	5825769
563	2287551	5824333
564	2292580	5822749
565	2297729	5821455
566	2303241	5821067
567	2308164	5819174
568	2313177	5817498
569	2318242	5815942
570	2323403	5814611
571	2328644	5813469
572	2333457	5811245
573	2338294	5809073
574	2343337	5807401
575	2348335	5805606
576	2353398	5803960
577	2358411	5802182
578	2363242	5799943
579	2368135	5797848
580	2372881	5795384
581	2377845	5793443
582	2382529	5790814
583	2387529	5788940
584	2392455	5786879
585	2397258	5784511
586	2402237	5782558
587	2407341	5780895
588	2412160	5778537
589	2417295	5776927
590	2422590	5775685
591	2427831	5774301
592	2432551	5771669
593	2437442	5769434
594	2442218	5766918
595	2447208	5764899
596	2452121	5762691
597	2456938	5760246
598	2461940	5758228
599	2466844	5755969
600	2471703	5753598
601	2476692	5751521
602	2481775	5749653
603	2486716	5747444
604	2491747	5745435
605	2496835	5743546
606	2501822	5741415
607	2506912	5739510
608	2512234	5738125
609	2517203	5735923
610	2522424	5734283
611	2527739	5732848
612	2532772	5730758
613	2537701	5728427
614	2542860	5726605
615	2547922	5724552
616	2553089	5722727
617	2558105	5720554
618	2563181	5718504
619	2568187	5716288
620	2573296	5714292
621	2578183	5711795
622	2583003	5709142
623	2588166	5707238
624	2593080	5704777
625	2597772	5701819
626	2602917	5699849
627	2607995	5697723
628	2612812	5695017
629	2618016	5693147
630	2622697	5690131
631	2627463	5687295
632	2632297	5684597
633	2637454	5682590
634	2642518	5680375
635	2647611	5678210
636	2652396	5675379
637	2657262	5672714
638	2662151	5670091
639	2666965	5667301
640	2671945	5664858
641	2676903	5662360
642	2682266	5660709
643	2687459	5658687
644	2692181	5655668
645	2696668	5652149
646	2701366	5649071
647	2705539	5644891
648	2709994	5641297
649	2714675	5638171
650	2719320	5634966
651	2723856	5631531
652	2728299	5627900
653	2732974	5624746
654	2737504	5621287
655	2742065	5617889
656	2746515	5614261
657	2751253	5611219
658	2755937	5608061
659	2760487	5604626
660	2765197	5601511
661	2769983	5598546
662	2774541	5595115
663	2779313	5592113
664	2783734	5588399
665	2788315	5585003
666	2793077	5581968
667	2797769	5578786
668	2802165	5575011
669	2806575	5571262
670	2811045	5567629
671	2815269	5563509
672	2819506	5559412
673	2823613	5555060
674	2828101	5551459
675	2832760	5548187
676	2837301	5544682
677	2841919	5541324
678	2846828	5538527
679	2851748	5535747
680	2856561	5532753
681	2860810	5528663
682	2865600	5525617
683	2870357	5522500
684	2874946	5519058
685	2879407	5515367
686	2883976	5511878
687	2888847	5508965
688	2893381	5505403
689	2898090	5502171
690	2902804	5498945
691	2907277	5495258
692	2911701	5491477
693	2915942	5487350
694	2920134	5483130
695	2924355	5478965
696	2928709	5475048
697	2933092	5471183
698	2937577	5467507
699	2942365	5464393
700	2946906	5460814
701	2951566	5457455
702	2956166	5453980
703	2960665	5450316
704	2965174	5446667
705	2969776	5443187
706	2974367	5439684
707	2978886	5436047
708	2983467	5432520
709	2987977	5428859
710	2992661	5425513
711	2997363	5422196
712	3002168	5419061
713	3006584	5415220
714	3011330	5411970
715	3016137	5408827
716	3020796	5405414
717	3025411	5401918
718	3030361	5399016
719	3034840	5395271
720	3039398	5391665
721	3043852	5387871
722	3048561	5384527
723	3052791	5380333
724	3057580	5377124
725	3061690	5372717
726	3066218	5369044
727	3070768	5365408
728	3075523	5362126
729	3080003	5358361
730	3084625	5354842
731	3089239	5351305
732	3093811	5347694
733	3098399	5344106
734	3102954	5340459
735	3107612	5336987
736	3112423	5333773
737	3117245	5330573
738	3121429	5326282
739	3125816	5322336
740	3130553	5318983
741	3135022	5315172
742	3139393	5311195
743	3143653	5307027
744	3148219	5303376
745	3152962	5300020
746	3157452	5296235
747	3161832	5292265
748	3166185	5288248
749	3170659	5284431
750	3175168	5280673
751	3179918	5277311
752	3184545	5273742
753	3189072	5270005
754	3193734	5266489
755	3198736	5263529
756	3203134	5259571
757	3207850	5256134
758	3212379	5252388
759	3216641	5248204
760	3221102	5244344
761	3225685	5240681
762	3230360	5237163
763	3234930	5233474
764	3239586	5229920
765	3244386	5226596
766	3249032	5223020
767	3253741	5219544
768	3258199	5215661
769	3262567	5211633
770	3266946	5207623
771	3271626	5204089
772	3276201	5200387
773	3280599	5196401
774	3285041	5192485
775	3289606	5188760
776	3294174	5185038
777	3298663	5181190
778	3303225	5177456
779	3307799	5173737
780	3312351	5169982
781	3317064	5166476
782	3321541	5162600
783	3325978	5158661
784	3330285	5154518
785	3334785	5150674
786	3339332	5146900
787	3344148	5143537
788	3348872	5140030
789	3353335	5136120
790	3357843	5132279
791	3362499	5128661
792	3367012	5124821
793	3371566	5121044
794	3376192	5117374
795	3380891	5113810
796	3385366	5109907
797	3389954	5106171
798	3394175	5101882
799	3398811	5098217
800	3403312	5094346
801	3407920	5090634
802	3412519	5086906
803	3417094	5083140
804	3421547	5079191
805	3426138	5075446
806	3430715	5071677
807	3435414	5068086
808	3439882	5064152
809	3444402	5060295
810	3449019	5056576
811	3453545	5052723
812	3458210	5049072
813	3462902	5045457
814	3467511	5041718
815	3472263	5038186
816	3476835	5034389
817	3481484	5030702
818	3486270	5027210
819	3490874	5023453
820	3495524	5019760
821	3500290	5016231
822	3504961	5012563
823	3509135	5008183
824	3513632	5004264
825	3518197	5000441
826	3522670	4996484
827	3527423	4992923
828	3531884	4988946
829	3536541	4985245
830	3541076	4981369
831	3545810	4977772
832	3550526	4974146
833	3555241	4970518
834	3559942	4966865
835	3564612	4963167
836	3569161	4959301
837	3573786	4955536
838	3578336	4951666
839	3582900	4947815
840	3587580	4944121
841	3592372	4940578
842	3597079	4936917
843	3601689	4933119
844	3606058	4928991
845	3610374	4924789
846	3614962	4920958
847	3619435	4916969
848	3623912	4912983
849	3628633	4909327
850	3633253	4905532
851	3637702	4901505
852	3641995	4897267
853	3646830	4893755
854	3651722	4890318
855	3656264	4886409
856	3660616	4882246
857	3665170	4878350
858	3669562	4874238
859	3673928	4870091
860	3678419	4866108
861	3683042	4862299
862	3687745	4858593
863	3692247	4854621
864	3696519	4850345
865	3701028	4846381
866	3705703	4842631
867	3710130	4838557
868	3714536	4834454
869	3718882	4830272
870	3723350	4826248
871	3727755	4822143
872	3731789	4817556
873	3735531	4812595
