iter	Passed	Remaining
399	80695	121043
400	80910	120861
401	81120	120672
402	81332	120484
403	81529	120276
404	81727	120068
405	81931	119870
406	82134	119669
407	82342	119477
408	82546	119279
409	82754	119085
410	82962	118892
411	83163	118689
412	83383	118513
413	83595	118325
414	83799	118126
415	83998	117921
416	84202	117721
417	84402	117517
418	84603	117314
419	84807	117114
420	85010	116914
421	85237	116746
422	85468	116585
423	85672	116385
424	85912	116235
425	86166	116101
426	86409	115955
427	86638	115788
428	86881	115638
429	87112	115474
430	87335	115299
431	87573	115142
432	87795	114965
433	88008	114776
434	88218	114582
435	88489	114467
436	88703	114279
437	88977	114167
438	89240	114041
439	89452	113848
440	89674	113669
441	89907	113503
442	90115	113304
443	90318	113101
444	90531	112910
445	90729	112700
446	90980	112554
447	91225	112402
448	91473	112253
449	91695	112072
450	91927	111903
451	92170	111746
452	92399	111572
453	92668	111447
454	92888	111261
455	93105	111072
456	93314	110875
457	93537	110692
458	93765	110516
459	93982	110326
460	94188	110125
461	94399	109928
462	94607	109727
463	94823	109537
464	95037	109343
465	95253	109153
466	95466	108958
467	95706	108794
468	95960	108645
469	96200	108481
470	96404	108276
471	96613	108076
472	96824	107878
473	97028	107673
474	97235	107471
475	97445	107271
476	97643	107060
477	97869	106878
478	98128	106732
479	98395	106595
480	98650	106444
481	98898	106285
482	99127	106105
483	99383	105954
484	99593	105754
485	99811	105562
486	100017	105357
487	100233	105162
488	100432	104951
489	100632	104739
490	100836	104533
491	101048	104334
492	101253	104129
493	101454	103919
494	101658	103712
495	101862	103505
496	102079	103311
497	102291	103113
498	102493	102903
499	102692	102692
500	102892	102481
501	103104	102283
502	103310	102077
503	103514	101871
504	103716	101662
505	103913	101448
506	104109	101234
507	104312	101027
508	104510	100814
509	104710	100604
510	104910	100393
511	105115	100188
512	105321	99983
513	105526	99777
514	105730	99571
515	105934	99365
516	106137	99157
517	106339	98949
518	106539	98739
519	106744	98533
520	106951	98329
521	107150	98118
522	107364	97921
523	107568	97714
524	107777	97513
525	107979	97305
526	108192	97106
527	108395	96898
528	108596	96689
529	108805	96488
530	109068	96333
531	109282	96135
532	109485	95928
533	109688	95720
534	109904	95524
535	110107	95316
536	110311	95110
537	110526	94913
538	110731	94707
539	110931	94496
540	111134	94289
541	111337	94082
542	111540	93874
543	111750	93673
544	111950	93463
545	112155	93257
546	112359	93051
547	112566	92847
548	112765	92636
549	112969	92429
550	113186	92233
551	113388	92025
552	113591	91817
553	113798	91613
554	113999	91404
555	114201	91197
556	114417	90999
557	114620	90792
558	114826	90587
559	115021	90374
560	115224	90166
561	115434	89965
562	115636	89756
563	115837	89547
564	116041	89341
565	116255	89143
566	116459	88936
567	116659	88727
568	116867	88523
569	117075	88320
570	117299	88128
571	117512	87928
572	117716	87722
573	117913	87510
574	118125	87309
575	118328	87102
576	118532	86896
577	118739	86692
578	118943	86485
579	119148	86279
580	119376	86091
581	119578	85882
582	119786	85679
583	119984	85468
584	120189	85262
585	120397	85058
586	120601	84852
587	120806	84646
588	121007	84438
589	121209	84230
590	121412	84023
591	121614	83815
592	121815	83606
593	122019	83400
594	122228	83197
595	122429	82988
596	122635	82784
597	122839	82577
598	123042	82370
599	123244	82162
600	123459	81964
601	123675	81765
602	123884	81562
603	124082	81351
604	124286	81145
605	124487	80937
606	124691	80731
607	124903	80530
608	125105	80322
609	125318	80121
610	125531	79921
